Vehicle ID,Vehicle Class,Fuel Type,Route Type,Vehicle Age (Years),Cumulative Mileage (km)
MUN_065,Service Van,Petrol,Urban Stop-and-Go,2,40600
MUN_066,Service Van,Petrol,Highway Transit,6,222200
MUN_067,Transit Bus,CNG,Mixed Suburban,13,316500
MUN_068,Transit Bus,Diesel,Mixed Suburban,12,276000
MUN_069,Service Van,Petrol,Urban Stop-and-Go,13,225400
MUN_070,Transit Bus,Diesel,Highway Transit,5,193300
MUN_071,Waste Truck,Diesel,Highway Transit,6,215300
MUN_072,Waste Truck,CNG,Mixed Suburban,15,370900
MUN_073,Service Van,Petrol,Highway Transit,11,298600
MUN_074,Service Van,Petrol,Mixed Suburban,11,234900
MUN_075,Service Van,Petrol,Urban Stop-and-Go,8,312500
MUN_076,Waste Truck,Hybrid,Mixed Suburban,2,76000
MUN_077,Transit Bus,Diesel,Mixed Suburban,12,223400
MUN_078,Service Van,Petrol,Urban Stop-and-Go,6,126400
MUN_079,Transit Bus,Diesel,Mixed Suburban,5,186500
MUN_080,Transit Bus,Diesel,Urban Stop-and-Go,11,225000
MUN_081,Transit Bus,Diesel,Highway Transit,8,191900
MUN_082,Waste Truck,Diesel,Mixed Suburban,3,105600
MUN_083,Waste Truck,Diesel,Urban Stop-and-Go,14,292700
MUN_084,Transit Bus,Hybrid,Highway Transit,6,216900
MUN_085,Transit Bus,Hybrid,Highway Transit,13,408600
MUN_086,Waste Truck,Diesel,Mixed Suburban,7,137500
MUN_087,Waste Truck,Hybrid,Urban Stop-and-Go,5,78800
MUN_088,Waste Truck,Diesel,Mixed Suburban,13,250900
MUN_089,Waste Truck,CNG,Urban Stop-and-Go,14,393900
MUN_090,Service Van,Diesel,Urban Stop-and-Go,5,195000
MUN_091,Service Van,Petrol,Urban Stop-and-Go,6,161000
MUN_092,Transit Bus,CNG,Urban Stop-and-Go,9,163900
MUN_093,Service Van,Petrol,Mixed Suburban,11,178300
MUN_094,Service Van,Diesel,Urban Stop-and-Go,8,157500
MUN_095,Waste Truck,Hybrid,Urban Stop-and-Go,11,284400
MUN_096,Waste Truck,Hybrid,Mixed Suburban,13,338600
MUN_097,Waste Truck,Diesel,Highway Transit,7,158400
MUN_098,Service Van,Diesel,Highway Transit,13,397000
MUN_099,Transit Bus,CNG,Mixed Suburban,13,275800
MUN_100,Waste Truck,Diesel,Highway Transit,15,320600
